Home,Road,line,linesag,linepz,lineARGH,linekamb,lineavg,linematt,linepig,linens,linecpa,linemass,linemore,linebemiss,linecpar,linepyth,lineelo,lineeff,linehank,linel2,linegabrielle,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,linestr,lineself,linefly,linegrn,linecoff,linensr,lineesp,lineadler,linetsr,linelog,linevia,linebenson,linemed,lineglenn,linedudley,lineash,lineburl,linestd,vscore,hscore,week,difference
Cleveland,Cincinnati,3,5.9,4.59,3,2.28,4.79,8.29,3,-0.5,5.21,6.71,3.73,,4.02,6.08,11.24,4.96,2,9.44,,6.5,26.9,2,3,,0.25,5.79,6.52,2.84,,3,4.92,8.52,,7.83,6.27,-4,3.9,5.35,,4,3.34,8,4.92,10,-6,4,4,3.0384559919,17,34,6,17
Dallas,Pittsburgh,3,3.21,-6.17,-1,2.94,-0.1,2.52,5,-7.75,-3.05,-2.08,-1.93,,0.21,-4.73,3.76,-1.95,1,0.68,,0.86,-26.97,-2,2.5,,3,4.29,2.25,0.49,,3,-0.96,5.16,,1.02,-2.43,-3.5,-1.7,1.06,,4,-1.4,-7,0.25,2,-10,0.25,5,3.3152888579,24,20,6,-4
Detroit,Green Bay,2,12.34,10.98,6,4.73,7.56,17.52,-3,16.5,8.15,2.2,8.38,,7.68,9.95,18.66,7.86,5,15.44,,13.78,36.64,0.25,2.5,,2,12.42,12.26,2.89,,1,4.41,14.79,,16,13.43,27.5,6.3,15.83,,4,-1.07,1,7.68,1,15,1,0.25,6.8840203739,38,10,6,-28
Jacksonville,Kansas City,-2,6.95,1.07,3,3.64,4.36,8.71,0.25,4.5,4.16,4.59,3.03,,7.54,3.76,9.47,2.98,1,9.47,,6,-24.75,2,-0.5,,1,7.67,6.3,9.75,,-2.5,10.31,8.27,,7.16,7.86,16.5,6.3,9.23,,4,1.18,3,4,4,-9,3,-3,3.7377730829,16,22,6,6
N.Y. Jets,San Francisco,10,12.52,21.3,9,4.49,11.26,13.38,12,7.5,11.26,9.35,7.37,,11.13,13.56,11.01,10.34,10,14.3,,7.44,16.71,10,10,,12,16.99,8.88,13.06,,9.5,12.2,13.83,,10,15.75,16,9.6,15.11,,4,5.89,9,11.01,9,13,8,10,3.5416008397,14,22,6,8
New England,Seattle,4,10.08,2.79,3,4.52,6.43,9.52,5,2.5,3.4,8.34,4.32,,9.83,1.19,14.65,1.25,3,7.85,,15.59,11.59,6,4,,5,13.35,7.21,6.35,,4,5.26,11.17,,10.27,7.69,37,1.7,7.71,,4,6.65,8,6.35,5,7,2,8,6.8083138077,20,30,6,10
New Orleans,Minnesota,-3.5,-15.24,-10.48,-5,-3.57,-7.06,-11.62,-6,-4.5,-7.77,-3.24,-2.45,,-6.63,-4.96,-13.8,-2.96,-3,-17.86,,-21.06,-24.59,-3,-3.5,,-1,-15.01,-15.46,-0.89,,-3,-8.21,-14.06,,-18.27,-7.13,3.5,-4.9,-14.51,,-4,-0.85,-5,-5,-3,2,0.25,-13,5.6241801637,38,31,6,-7
Oakland,Denver,-1.5,-2.81,-7.9,-4,0.36,-3.35,-2.81,-4,-2,-3.39,-1.95,-2.49,,-0.96,-5.29,-1.15,-1.89,-3,-4.61,,-7.54,-4.51,-5,-1.5,,-1,-3.69,-1.99,-4.2,,-1.5,-4.91,-2.17,,-4.98,-3,-16.75,-4.1,-5.26,,-4,-1.33,-2,-3,-8,-4,-2,-5,3.1041846649,31,3,6,-28
Philadelphia,Carolina,8.5,19.94,18.21,8,4.23,13.81,23.73,10,7,11.56,14.73,9.93,,10.96,16,28.94,12.07,10,29.79,,29.46,-14.93,7,8.5,,9,19.1,20.89,8.75,,7.5,11.12,23.67,,28.02,20.26,5,7.5,22.87,,4,8.53,15,11.12,8,7,4,9,7.115195705,8,30,6,22
St. Louis,Tampa Bay,7,5.37,8.47,4,8.06,5.99,10.39,4,10.75,3.75,5.14,5.69,,3.12,7.53,8.97,5.31,5,7.06,,12.47,19.41,9,7,,7,4.63,6.08,8.66,,6,5.44,6.37,,6.35,10.04,16.5,5.2,8.12,,8.72,5.88,7,5.88,6,-1,1,5,2.8085126644,21,28,6,7
Tennessee,Houston,6.5,-0.86,9.27,3,3.54,4.23,0.84,7,7.5,0.46,7.23,2.46,,-0.75,3.2,3.28,3.14,4,0.41,,-6.58,-20.4,11,6,,3,0.01,-1.75,6.78,,6.5,12.45,0.09,,-0.82,2.46,17,4.1,-1.46,,4,10.47,8,3.2,11,1,9,10,4.6847091127,20,10,6,-10
Arizona,Seattle,-7,-1.94,-5.14,-3,-1.42,-3.41,2.45,-8,-5.25,-1.13,-4.61,-0.57,-4.9,-0.85,-3.01,0.14,-0.53,-5,-4.48,,-3.43,8.94,-8,-6,-2.56,-7,-3.18,-1.74,-4.12,-7.9,-7,-5.25,-1.56,,-3.18,-1.52,-17.75,-6.5,-5.32,,-12.71,-6.99,-4.47,-3.59,-5,6,-4,-6,3.72423256,17,25,7,8
Baltimore,Buffalo,5.5,6,9.27,5,7.04,7.47,7.94,10,7,2.95,7.27,5.48,3.2,2.88,9.49,7.39,6.13,7,4.18,,11,19.1,10,5.5,10.85,8,6.08,6.12,11.76,10.7,6.5,5.05,7.4,,3.49,8.74,8.25,5.7,5.88,,4,6.2,12.85,7.15,10,12,6,10,2.268996031,6,20,7,14
Carolina,San Diego,3,-3.85,-10.02,-3,-1.36,-2.45,-2.26,6,-4.25,-7.24,0.43,-3.48,-8.5,-4.96,-6.2,-2.96,-3.35,-1,-8.06,,-12,-11.37,4,2,-3.37,3,-3.31,-4.45,0.42,-8.6,3,-2.31,-1.74,,-6.52,-4.19,5,-1.6,-7.47,,-4,5.99,-1.48,-2.98,1,-9,2,6,4.0978136166,17,6,7,-11
Cincinnati,Denver,-6,-8.59,-19.26,-8,-3.83,-10,-10.61,-8,-13.5,-13.61,-9.65,-7.47,-16.3,-10.79,-11.37,-13.82,-5.67,-8,-19.17,,-14.87,-21.3,-9,-6.5,-12.2,-3,-7.27,-10.47,-6.91,-22,-5.5,-12.58,-6.46,,-15.1,-10.13,-22.75,-8.4,-13.25,,-4,-2.94,-8.3,-9.32,-15,-5,-4,-13,4.8618690058,10,23,7,13
Cleveland,Philadelphia,-7.5,-11.18,-11.29,-6,-3.26,-9.31,-11.89,-11,-11.25,-6.96,-9.4,-5.95,-12.1,-5.67,-6.57,-18.81,-4.53,-5,-18.94,,-12,1.12,-9,-7.5,-13.23,-8,-10.12,-12.33,-10.66,-15.9,-7,-11.02,-9.56,,-18.59,-11.12,-21,-6.4,-13.51,,-4,-5.8,-9.84,-9.7,-5,-2,-3,-12,4.3753173941,34,31,7,-3
Green Bay,Dallas,3.5,1.67,4.19,1,6.93,3.77,3.56,6,17.5,2.52,7.23,1.43,1.2,-0.83,5.75,6.38,4.97,1,9.53,,22.17,0.61,9,3.5,5.71,4,-1.21,4.99,4.41,0.3,3,10.11,1.84,,2.39,3.05,13.5,-1.3,0.5,,7.94,7.27,9.09,3.78,5,1,3,6,4.238561402,20,41,7,21
Indianapolis,Jacksonville,9,6.19,16.89,5,7.55,9.73,9.54,12,14.5,9.27,11.25,8.39,10.9,4.93,10.43,15.44,7.84,8,11.3,,13.43,20.52,13,9,12.65,11,3.91,9.17,12.83,7.9,10,15.4,6.72,,10.25,8.94,22.5,5.8,7.3,,4,7.24,8.93,9.22,13,10,5,18,4.0823322864,27,24,7,-3
Kansas City,Atlanta,4,-5.05,-5.61,-5,2.28,-3.3,-6,5,-4.75,-7.8,1.62,-3.31,-7.1,-7.45,-5.86,-2.31,-2.45,-2,-6.83,,-10.27,-16.54,2,2.5,-3.97,3,-5.35,-4.76,-4.43,-17,4,-4.06,-3.31,,-6.79,-5.64,-22,-4.6,-9.75,,-4,2.18,0.23,-4.02,-1,-3,3,2,5.4399203531,10,56,7,46
Miami,St. Louis,-6.5,-7.83,-11.42,-6,0.61,-6.28,-7.33,-4,-2.5,-9.2,-2.9,-4.76,-10.3,-8.76,-7.3,-8.49,-2.42,-8,-8.44,,-13.57,-7.22,-1,-6.5,-6.49,-5,-6.74,-8.92,-3.76,-21,-6.5,-2.2,-5.56,,-9.43,-7.69,-17.5,-8.5,-9.56,,-4,-1.83,-2.06,-6.25,-5,-6,0.25,-5,4.5092081523,14,31,7,17
Minnesota,Tennessee,7,9.3,10.28,6,7.42,7.83,13.14,8,4,5.96,4.97,6.41,10.8,6.76,8.17,12.85,7.14,9,7.33,,12.27,7.73,6,7,13.37,7,9.57,9.1,7.08,16.9,7,4.38,10.81,,8.72,10.99,0.75,4.9,10.03,,4,0.67,4.37,7.71,6,-3,2,11,3.5447361168,3,20,7,17
N.Y. Giants,Detroit,7,4.36,13.87,4,3.71,7.95,8.29,10,12.5,5.85,8.85,5.87,6.6,0.66,12.37,13.81,8.45,9,6.56,,-1.7,-3.92,11,7,12.6,5,4.25,4.51,8.06,10.3,6.5,11.88,7.34,,6.95,8.36,-4.75,9,6.77,,-10.03,5.03,5.68,7.7,17,1,5,15,4.0712782737,28,13,7,-15
New England,N.Y. Jets,6.5,8.02,-1.05,4,5.55,7.53,8.44,12,8.75,4.85,9.69,5.35,3.5,2.44,5.48,14.35,5.12,5,11.46,,16.87,-0.75,11,6.5,12.15,7,4.01,11.49,9.51,5.1,6,11.1,7.32,,9.58,7.04,36,4.5,5.95,,4,6.94,8.64,7.02,12,12,3,15,6.2004877079,7,13,7,6
Oakland,New Orleans,3,3.37,-0.57,1,1.22,1.98,3.5,2,-5.5,0.8,4.19,1.45,-4.6,3.05,1.19,3.5,2.14,1,1.83,,3.3,-2.7,-2,3,4.33,4,4.63,1.71,0.88,3.7,3,3.4,5.06,,1.73,4.21,-0.5,0.8,1.61,,4,-1.77,6.81,1.72,1,-1,1,4,2.3038074682,31,26,7,-5
Tampa Bay,Chicago,7,-4.28,1.3,-0.25,2.2,0.59,-2.93,7,7,-2.46,4.98,0.74,0.8,-1.75,0.95,-1.67,2.08,3,-5.64,,-2.4,-3.33,3,5.5,-3.34,5,-4.07,-5.11,2.08,-2.1,6.5,0.53,-2.24,,-6.44,-0.47,6,2,-4.17,,-4,1.96,2.56,0.88,8,2,5,6,3.6452006551,7,19,7,12
Buffalo,Arizona,3,1.39,-0.47,-0.25,1.57,0.44,-2.36,3,-2.9,-0.46,4.22,-1.11,-9,2.63,-3.85,0.88,-0.18,1,-0.03,0.73,-3.38,17.68,3,2.5,1.74,6,2.28,0.74,1.24,,3,-0.68,2.33,,0.03,0.65,-4.6,-1.6,-2.36,,10.41,4.68,2,0.74,-1,-6,4,0.25,2.4483935385,14,38,8,24
Chicago,San Francisco,1.5,7.35,5.8,3,5.1,5.5,11.39,6,-4.6,6.84,4.39,2.81,4.8,4.13,5.7,8.4,4.91,1,12.17,5.77,15.38,24.96,4,3,12.43,4,4.62,9.47,5.71,,3,6.42,5.22,,7.22,6.84,-7.8,0.5,4.8,,11.87,3.37,4,5.05,4,5,3,9,3.966330262,13,23,8,10
Dallas,Detroit,3,-5.25,-6.99,-2,3.62,-2.05,-8.13,2,-5.6,-1.57,-1.13,-3.06,-9.2,-2.26,-2.31,-5.6,-0.62,1,-5.93,-2.27,-17,-21.79,4,2,-4.71,3,-3.17,-7.78,0.4,,3,-3,-1.79,,-5.71,-4.47,-13.5,-2.1,-5.3,,-9.88,2.62,-1,-2.18,4,-7,2,4,3.8879468328,21,31,8,10
Denver,Atlanta,6.5,3.68,11.34,5,6.32,6.18,6.03,8,2.2,8.25,7.31,3.85,5.9,3.48,10.5,6.57,6.8,6,9.05,5.82,4.59,23.4,8,6.5,10,4,2.64,4.73,4.07,,6.5,8.08,3.88,,4.51,5.52,-16.6,4.6,5.21,,3.86,3.05,9,5.95,8,5,6,9,4.7043506887,41,28,8,-13
Houston,Jacksonville,1,0.9,1.6,-1,1.9,0.48,1.45,-2,-0.7,3.35,-0.18,2.07,3,-0.29,3.72,2.05,3.4,2,0.63,0.62,4.97,-8.96,-1,1,-0.01,3,-0.95,2.4,-1.12,,2,-4.13,0.93,,0.04,-0.08,-17.7,-4.1,-0.7,,-4.41,1.3,-2,0.76,-3,6,-4,1,3.8594297268,6,20,8,14
Kansas City,Indianapolis,-1.5,-4.82,2.06,-3,5.16,-2.33,-4.52,-1,-2.1,0.36,-3.15,-3.16,-6.1,-2.15,-0.24,-2.49,0.14,-2,-5.47,-0.77,-10.34,-10.56,0.25,-1.5,-3.13,-3,-3.66,-6.44,-7.83,,-2.5,-7.86,-2.03,,-6.63,-0.9,-18,-3.9,-4.44,,-11.88,-2.36,0.25,-2.26,-2,2,0.25,-2,3.9606865334,35,45,8,10
Minnesota,N.Y. Giants,7,3.41,8.37,4,6.07,5.32,5.72,8,20.4,4.91,6.8,4.38,7.5,5.32,5.13,7.13,5.15,6,5.29,4.43,5.03,12.23,10,7,5.39,5,4.14,2.77,5.16,,7,7.79,3.74,,4.24,6.15,11.2,1.7,5.47,,2,7.86,5,5.16,2,-1,5,8,3.370480047,34,13,8,-21
N.Y. Jets,Miami,7,11.09,17.36,8,2.79,8.7,14.87,7,6.3,6.73,8.1,7.77,9.7,8.69,12.72,9.76,7.78,9,10.57,9.93,13.31,-10.89,4,7,13.07,12,13.39,9.79,8.06,,7,7.54,11.66,,9.86,13.03,19.7,6.3,14.1,,2,5.87,6,8.39,5,-4,5,4,3.7876521099,14,41,8,27
Philadelphia,Baltimore,7.5,10.73,8.1,7,3.01,8.56,15.56,9,6,7.85,8.95,6.54,7.1,11.67,6.69,14.4,6.05,8,11.35,9.44,11.69,13.99,7,7.5,13.43,8,12.43,8.41,10.77,,8.5,11.06,11.63,,11.48,11,21.3,4.7,10.06,,2,5.88,10,8.68,5,-6,4,12,3.6565985702,10,15,8,5
Pittsburgh,New England,-3,-4.85,0.96,-3,1.74,-2.65,-3.39,-5,-7.9,-0.21,-3.77,-1.23,-4.8,-3.62,-1.86,-2.79,-0.73,1,-6.51,-1.4,-10.97,-27.34,-5,-3,-2.12,-4,-4.17,-5.65,-3.56,,-3,-7.03,-1.69,,-6.17,-3.25,-42.2,-2.8,-3.62,,-2,-1.29,-3,-3,-2,4,0.25,-6,7.5190692442,20,34,8,14
San Diego,Oakland,6,11.24,22.03,10,4,11.41,13.44,10,15.6,13.89,8.98,9.93,12.7,8.38,13.29,16.83,9.53,8,16.1,10.57,18,29.29,13,7,18.35,5,9.03,14.12,12.91,,4.5,17.14,9.27,,12.14,12.88,24.8,9.1,11.53,,2,6.66,8,11.39,16,13,5,12,4.5767852995,14,42,8,28
Seattle,Carolina,8,4.84,15.52,5,7.63,7.56,4.79,7,8.6,11.17,7.99,6.33,9.8,2.22,15.18,5.75,9.8,7,8.12,6.58,10.93,-6.07,9,8,7.96,8,1.31,8.03,6.74,,7.5,8.56,4.42,,4.56,7.38,-1.3,4.6,10.81,,-12.38,8.02,8,7.51,11,11,4,7,3.4823163945,17,23,8,6
Tennessee,Cincinnati,3,2.96,2.89,2,3.4,3.65,2.2,5,6.4,4.24,7.49,2.02,0.2,1.3,3.47,4.63,3.26,1,5.03,3.82,7.62,10.33,5,3,5.18,5,1.91,4.96,5.52,,4,6.19,2.67,,3.05,4.18,6.6,-0.6,1.61,,4.28,5.43,7,3.65,7,-2,6,6,1.8828755216,20,27,8,7
Washington,Green Bay,-1.5,1.2,-2.81,-0.25,-0.68,-0.72,-1.92,-1,-18.8,-0.86,-0.75,1.54,-1.6,-1.64,0.16,1.05,1.24,-1,-3.79,0.86,-5.03,-13.69,-4,-1.5,0.2,4,-0.66,2.84,-3.39,,-2.5,-4.44,0.94,,-0.69,-1.26,-23.1,-2.3,-0.3,,-11.39,-2.05,-4,-0.72,-3,1,1,-2,5.5242770474,28,14,8,-14
Baltimore,Cleveland,6,3.97,8.74,4,6.11,6.4,3.66,10,14.3,12.86,8.32,4.86,3.3,10.41,7.29,7.09,5.53,6,5.33,4.94,6.01,22.56,11,6,,7,2,6.77,7.4,5.5,6,7.88,3.5,7,4.2,5.69,8.5,3.3,4.7,,2.25,7.51,7,6.06,9,6,5,8,2.8354833462,13,27,9,14
Buffalo,N.Y. Jets,-3,-4.64,-7.7,-4,0.19,-2.89,-5.44,-2,-6,1.05,-2.25,-3.29,-8.8,-0.85,-4.19,-1.7,-1.15,-4,-3.66,-1.06,-2.99,-6.48,-1,-3,,-1,-7.24,-2.45,-3.6,0.7,-3,-1.86,-2.98,-5,-4.67,-5.77,-16.6,-3.6,-8.83,,-2,-2.59,-4,-2.99,-3,8,-2,-1,3.4002896145,17,22,9,5
Carolina,Oakland,6.5,3.93,3.8,4,3.48,5.61,4.86,11,6.8,8.09,5.21,4.09,5.1,5.42,3.3,8.25,3.03,3,5.6,6.04,3.7,-4.56,12,6.5,,5,2.49,6.06,9.61,6.3,6,10.92,3.52,3,5.78,4.65,19.3,4.5,1.27,,-1.31,6.71,6,5.15,12,-3,6,12,3.611305724,27,24,9,-3
Cincinnati,Dallas,-1,-1.91,-2.82,0.25,1.82,0.72,-3.59,2,1.6,9.95,2.44,-0.71,-1.5,7.47,2.55,1,2.8,1,5.2,2.61,0.32,15.39,4,-1,,1,-2.28,-2.04,3.56,3.8,-1.5,2.94,-0.6,-8,-0.94,0.24,-0.6,-0.2,-1.35,,-5.7,2.17,2,0.29,-3,-2,0.25,-1,3.304586809,3,26,9,23
Denver,Houston,6.5,0.85,7.05,3,5.63,3.13,0.42,5,-9.7,4.7,4.72,0.47,-3.3,3.25,4.35,-2.54,3.58,4,5.39,2.61,1.35,12.3,3,5.5,,4,-0.07,1.72,5.96,3.8,5.5,0.9,1.18,13,-0.41,0.81,2.5,-2.4,2.47,,-1.98,6.27,6,3.41,5,-1,6,5,3.7720311405,13,31,9,18
Detroit,Washington,3.5,6.78,0.9,6,1.82,5.39,11.29,3,8.8,5.73,5.24,5.48,4.8,9.79,4.95,7.43,4.09,4,6.6,6.49,12.04,-10.48,2,3.5,,4,9.3,4.54,5.93,9.8,4,5.8,8.36,6,6.78,7.41,28.5,3.4,10.5,,2,4.51,2,5.36,1,2,2,1,4.7954245442,17,10,9,-7
Indianapolis,Minnesota,7,0.87,1.97,2,4.76,3.97,-0.7,6,21.3,8.24,6.64,2.68,0.2,4.51,4.43,4.55,4.26,4,7.58,3.2,6.6,10.78,10,6.5,,7,-1.86,4.13,9.07,4.3,5.5,12.39,0.34,-4,2,1.67,28.4,3.7,-1.08,,-2.47,6.46,4,4.2,7,-1,4,5,6.3691550224,28,31,9,3
Miami,Arizona,3,1.1,-6.74,0.25,2.46,1.34,0.26,5,2.6,6.9,5.3,-1.09,-7.9,8.85,-2.78,3.11,-0.04,1,-1.87,1.03,-9.68,9.51,6,3,,3,2.1,0.18,2.61,6.8,3,1.08,2.58,1,0.98,2.18,10.4,-0.3,0.08,,4.05,5.55,7,1.6,3,-10,6,3,3.4188749328,24,23,9,-1
N.Y. Giants,Chicago,9,12.25,11.47,8,0.7,9.59,18.25,10,5.2,9.05,7.83,7.15,5.4,9.49,10.23,14.18,6.58,13,6.08,9.24,1.98,-2.87,8,9,,10,13.07,12.04,10.34,12.8,9,9.94,12.05,16,11.58,11.83,9.3,10.5,13.02,,2,5.42,9,10,14,-1,4,12,3.3749240374,28,21,9,-7
Pittsburgh,Philadelphia,0,-5.67,2.87,-3,0.41,-2.25,-4.44,-4,-2.9,3.4,-2.65,-0.77,-4.3,5.16,-1.91,-3.59,-1.34,1,-10.3,-2.42,-15.33,-14.67,-2,-0.5,,-3,-4.51,-6.53,-4.24,3.3,-2,-3.75,-2.9,-2,-6.07,-3.69,-3.3,-0.7,-1.66,,-2,-0.02,-4,-2.54,3,5,0.25,-4,2.8335323902,3,27,9,24
San Diego,New Orleans,6.5,11.67,19.09,12,3.64,11.33,16.54,8,15.4,18.36,9.42,9.92,11,11.73,12.81,15.56,9.6,9,19.74,10.92,19.7,29.47,10,7.5,,8,9.52,14.5,9.38,9.6,6,16.96,10.55,10,14.79,11.38,19,8.2,8.45,,2,4.41,8,10.74,13,11,4,14,3.9191034195,17,43,9,26
San Francisco,Seattle,-7,-4.36,-8.24,-6,2.17,-4.81,-8.12,-8,-3.9,-1.05,-2.63,-2.47,-11.5,1.33,-8.85,-2.81,-3.73,-6,-10.48,-1.71,-10.65,-20.66,-7,-7,,-4,-3.29,-5.31,-3.63,1.2,-6.5,-7.5,-1.42,-7,-4.86,-4.57,-10.3,-6.5,-5.83,,-7.7,-3.67,-2,-4.71,-6,1,-4,-9,3.0503730778,42,27,9,-15
St. Louis,New England,1.5,-7.28,-2.23,-6,3.87,-3.98,-10.1,-3,-9.7,-1.38,-3.77,-1.93,-8.9,-0.14,-3.16,-5.17,-0.94,-1,-12.38,-3.48,-7.65,-29.81,-4,0,,-1,-8.04,-6.58,-5.5,-0.2,-2,-5.92,-5.8,-4,-8.62,-4.25,-39.8,-4.2,-5.67,,-2,-2.8,-2,-3.62,-1,-2,-1,-3,7.1044152257,40,22,9,-18
Tampa Bay,Kansas City,-3,-4.3,-7.94,-4,1.86,-1.79,-5.56,-3,-8.5,5.61,0.72,0.95,-1.4,7.81,-2.14,-3.8,-0.46,-3,-4.69,-2.92,1.35,3.68,-5,-3,,-1,-4.81,-4.32,0.96,2,-3,-3.34,-2.77,-8,-5.75,-3.06,-12.8,-5.6,-2.59,,-13.82,-0.97,-2,-2.36,2,3,1,-1,4.1133829313,31,34,9,3
Arizona,N.Y. Giants,-2,-4.81,-4.32,-4,-0.34,-2.7,-5.04,-2,-0.4,0.27,-1.82,-1.34,-1.1,2.93,-4.33,-2.84,0.09,-1,-0.44,-1.79,-0.88,12.36,0.25,-2,-5.8,-3,-5.15,-4.56,-2.99,2.2,-3,-2.18,,-6,-5.3,-4.51,0.4,-3,-4.67,-7.4,-8.91,-2.26,-5,-2.84,-4,-2,0.25,-5,2.4876640609,14,17,10,3
Atlanta,Tampa Bay,3.5,6.65,3.58,6,-0.39,4.85,10.92,3,2.3,12.7,3.38,4.99,-1.4,13.08,5.36,5.29,3.78,4,6.12,7.01,6.15,16.22,5,3.5,7.28,5,8.86,4.51,7.29,6.9,3.5,5.53,,4,6.12,7.23,25.4,0.5,10.22,4.7,11.78,4.67,0.25,5,3,-9,0.25,3,4.5886960953,14,24,10,10
Cleveland,Pittsburgh,-3.5,-2.77,-9.95,-5,-1.19,-4.15,-6.93,-5,-12.2,3.13,-3.65,-5.52,-8.8,4.55,-1.28,-5.38,-1.52,-6,3.66,-3.6,6.74,13.35,-7,-3.5,-4.37,-3,-6.45,-1.29,-5.5,-0.7,-5.5,-7.11,,-12,-4.58,-6.53,-17.8,-8.8,-7.66,-3.8,-11.42,-2.45,-6,-5,-9,-7,-1,-6,4.3262736214,24,10,10,-14
Dallas,Philadelphia,-6.5,-9.16,-10.49,-9,-1.21,-8.31,-9.72,-9,-13.5,-2.6,-8.92,-6.97,-15.5,2.48,-10.65,-8.27,-4.54,-7,-17.7,-6.48,-21.57,-20.67,-9,-6.5,-11.26,-5,-7.71,-11.37,-13.1,-1.5,-6,-10.53,,-9,-9.77,-8.88,-19.7,-7.8,-8.99,-12.7,-13.66,-4.69,-13,-8.92,-5,-4,-2,-8,4.1409930314,49,21,10,-28
Green Bay,Minnesota,4,0.53,-1.7,0.25,4.2,2.42,-0.95,3,14,1.1,3.3,1.56,-4.8,-1.79,2.64,4.59,3.14,3,0.86,1.21,4.4,-0.44,7,4,1.36,2,-0.69,1.77,5.15,4.9,4,5.78,,3,0.1,2.25,17,2.9,-2.02,1.7,0.76,2.57,6,2.64,9,6,3,5,3.9794724155,31,34,10,3
Indianapolis,Houston,9.5,7.24,11.89,8,6.39,8.05,7.89,11,16.5,10.51,9.26,4.49,5.3,8.47,4.84,5.39,5.6,7,10.32,6.03,9.77,11.49,11,9.5,8.88,9,5.46,9.71,10.23,4.9,9.5,11.31,,9,5.9,5.4,23.8,5.6,5.16,8.5,5.53,11.53,9,8.5,9,5,9,12,3.8900881075,14,49,10,35
Jacksonville,Detroit,3.5,5.2,2.49,4,4.05,4.94,4.13,8,16.5,6.28,6.51,2.77,-2.7,7.07,2.74,7.01,2.99,5,5.69,4.82,-6.95,-2.73,9,3.5,7.47,6,4.54,5.94,9.1,6.5,4,10.8,,6,3.72,5.06,16.3,8.2,4.84,6.5,5.57,6.25,9,5.94,8,-8,7,6,3.2748217755,17,23,10,6
N.Y. Jets,Baltimore,-1.5,0.71,9.32,1,1.07,1.57,-0.99,0.25,1.9,6.79,1.6,0.29,2.2,8.92,5.11,-0.43,3.15,2,1.06,3.39,-3.92,-12.93,3,-0.5,0.21,3,2.01,-1.25,2.39,5,0,2.82,,4,-0.57,1.59,12.8,-0.9,2.73,-0.6,0.48,3.47,1,1.59,1,-11,3,1,3.2154450226,20,17,10,-3
New England,Buffalo,7,12.59,9.09,10,8.43,10.58,12.37,11,8.6,13.64,11.68,8.36,8.1,13.79,9.15,8.31,6.2,8,15.72,10.3,19.08,27.91,12,8,12.56,11,13.68,11.81,15.42,9.9,9,9.58,,16,9.29,11.83,42.2,7,12.6,9.5,2,11.32,12,11,12,-10,8,13,6.0213266141,6,29,10,23
New Orleans,Kansas City,-3.5,-2.89,-6.95,-4,-4.71,-4.75,-4.03,-6,-10.8,-1.98,-3.37,-2.53,-7.2,5.1,-3.66,-6.15,-2.62,-4,-10.52,-1.15,-3.88,-17.14,-7,-3.5,-9.05,-3,-0.61,-5.63,-2.64,3.7,-3.5,-10.31,,-14,-6.72,-2.95,-7.3,-6.6,0.21,-13.3,-8.89,-1.14,-7,-4,-8,-3,-1,-11,4.1884225994,20,27,10,7
San Francisco,Carolina,1,-0.15,3.61,-1,4.03,0.09,-4.23,-3,4.4,-0.55,0.94,1.3,-4.2,1.47,3.33,-0.82,2.91,3,-4.29,1.71,-1.95,-19.99,0.25,1,-2.38,-1,0.54,-0.63,-0.44,3.7,1,-1.37,,5,-2.07,0.62,-1.8,-0.2,0.61,-4.7,-3.83,1.13,2,-0.15,1,6,-1,-5,2.4579887653,37,27,10,-10
St. Louis,Seattle,-1,-0.89,-6.15,-2,2.44,-0.98,1.58,-3,-7.1,-2.54,0.11,-1,-6.9,2.73,-2.33,-2.26,-1.74,1,-4.11,-0.74,0.12,-13.53,-4,-1,-2.77,3,1.8,-3.61,1.5,6.1,1,-5.57,,2,-1.82,0.33,-6.3,-1.4,0.51,-4.5,1.51,1.68,1,-1,-3,-1,0.25,-3,3.0805659697,12,23,10,11
Tennessee,Chicago,5.5,2.04,2.47,2,2.24,1.99,3.62,4,5.1,-0.46,4.3,-1.02,-4.3,2.23,2.09,1.07,1.6,1,3.01,2.28,-7.29,-7.2,4,4.5,3.15,5,3.28,0.77,6.17,5.5,5,1.9,,6,1.22,2.71,11.6,0.8,2.44,2.3,2.7,7.08,3,2.28,1,-12,7,1,2.4489220802,19,17,10,-2
Washington,Cincinnati,3,3.27,2.86,1,-0.84,3.14,2.11,4,-4.1,3.74,3.18,3.33,1,5.13,3.81,2.35,2.71,2,4.18,2.73,13.74,3.75,1,3,2.12,4,2.22,4.31,0.32,6.4,3,1.43,,11,1.25,2.04,-10,0.2,1.22,0.9,1.63,2.16,2,2.71,6,1,4,4,3.2929675648,17,10,10,-7
Baltimore,Dallas,7.5,12.84,20.01,12,11.48,13.77,12.11,13,25.1,19.78,14.24,12.35,13,12.86,15.62,16.52,10.64,10,19.3,10.95,24.01,23.21,16,9,17.05,8,9.35,18.42,13.73,9,6.5,18.11,8.53,11,13.56,14.25,11.5,12,12.31,18.4,12.3,9.67,17,13,17,16,9,13,3.8623986698,10,30,11,20
