Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linewunder,linepig,linens,linecpa,lineexcel,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,lineschmidt,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,lineupset,lineself,linejohns,linemass,linecoff,lineesp,linereister,linetsr,linetsrslots,linelog,linestrength,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linemrr,linedok,linetsrelo,linest,linecovers,lineherald,linewhatif,linewann,linegabe,linedwig,linejwilson,linegametime,linecover81,linecrunch,linensr,linelinx,linecombo,linegirl,linestd,linegrn,week,hscore,rscore
Indianapolis,Seattle,10,12.11,4.05,9,17.84,10.609782609,10,12,13.23,14.63,7,3.52,15.38,7.52,7.4,10.23,5.81,7,-3.76,10.4,-3.77,2.5,17,10,,4.5,17.53,8.03,12.21,,12,6,,5.81,12.33,,7.6,9,,11,1.61,12.65,13.32,10.28,11.8,17.1,8,7.45,21.6,,10.34,17,6,12,,14,3.84,9.5,1.9,8,6.5,,15.24,6.5,22.68,13.65,14.07,4.6135893422,,4,34,17
Jacksonville,Tennessee,-3,5.14,2.47,3,-5.75,0.28,-3,1,-1.19,-0.46,-7,3.29,-9.5,2.08,4.04,1.48,3.6,-1,8.96,2.45,8.82,13.48,-3,-2,,-1.5,9.49,2.15,-1.48,,-1,1,,-1.09,1.06,,-0.8,-6,,4,5.69,-3.63,-14.51,1.03,3.7,4.3,0.01,3,0.5,,2,-14,1.5,5.8,,-1,-2.49,3,0.01,-1.6,1.5,,-1.39,3.5,-2.11,-1.79,-2.4,3.5485815633,,4,37,17
Kansas City,N.Y. Giants,-8.5,-10.7,-8.41,-12,-14.83,-10.74369565,-7,-9,-13.15,-19.71,-7,-10.21,-10.93,-18.39,-13.35,-14.73,-8.43,-9,-12.81,-10.88,-13.24,-2.5,-14,-9,,-5,-11.36,-10.22,-9.15,,-9,-12,,-10.69,-13.66,,-11.5,-11,,-10,-4.43,-13.88,0.32,-10.79,-12.5,-12.7,-10,-10.56,-12.5,,-8.61,-7,-4,-7.7,,-8,-10.94,-9,-9.7,-1.5,-4.5,,-1.31,-9.2,-24.48,-13.23,-13.3,4.2055594733,,4,16,27
Miami,Buffalo,1,1.29,0.2,-1,-0.86,-0.271086957,1,3,-0.24,-6.14,3,-1.63,2.7,1.83,-2.34,-6.61,-0.33,-1,-7.84,-3.2,-8.25,2.5,1,1,,3,1.79,0.77,2.27,,1.5,-3,,-10.89,-0.25,,0.3,-2,,1,-0.75,-2.62,-13.01,-0.29,-4.6,-0.1,6,-1.22,1.5,,0.77,3,0.5,2.5,,-4,-11.8,-0.5,-2.9,-0.7,3.5,,-0.62,-0.4,10.41,2,4.25,3.8163334517,,4,38,10
Minnesota,Green Bay,3.5,8.67,1.95,4,3.04,6.0469565217,4,7,4.04,4.23,7,5.02,8.69,1.91,5.65,7.04,4.66,5,1.74,10.23,1.54,2.26,6,3.5,,1.5,11.36,6.67,8.59,,3,0.5,,6.41,4.77,,5.4,6,,8,5.71,8.65,14.81,5.83,10.3,9.7,6,3.12,8.2,,3.5,-1,5.5,9.8,,8,3.67,8,8.9,1.8,4.5,,4.45,4.4,15.2,6.03,8.01,2.9236589477,,4,30,23
New England,Baltimore,2.5,0.82,4.25,3,-1.04,-0.609347826,0,2,0.01,-1.8,6,-2.95,2.97,0.55,-3.34,-0.74,-2.9,-2,-2.37,-0.79,-1.26,-9.36,0.01,1.5,,0.01,0.85,0.74,-0.38,,3,-14,,-1.59,0.69,,0.3,-3,,1,1.05,-2.91,-15,-0.19,-8.4,0.6,1,3.11,-3.2,,0.85,3,-1.5,1.2,,-1,-6.22,1,-3.8,-1.4,5,,-1.15,-1.4,-2.13,0.28,0.57,3.2918501398,,4,27,21
New England,Baltimore,3.5,5.33,4.71,5,9.22,4.445106383,4,4,1.25,9.93,1,3,5.65,9.58,3,4.39,3.21,4,4.54,5.35,4.35,12.1,3,3.5,6.71,1.5,5.58,5.25,5.5,,6.5,-1,,4.49,4.19,6.54,4.8,3,,5,3.94,4.87,2,4.8,10.1,6.1,5,4.81,5.6,,4.6,3,2,6.61,,-2,,4,5.3,4.9,5,4,0.4,,5.29,2.24,3.22,2.4652840672,,4,27,21
New Orleans,N.Y. Jets,7.5,5.96,9.77,3,6.64,7.0623913043,6,8,4.19,4.18,4,4.57,14.16,1.22,3.86,18.46,4.51,6,2.5,9.28,2.5,9.55,11,7.5,,3,5.06,7.46,3.21,,6.5,2,,9.31,6.23,,5.5,4,,5,5.45,12.3,22.29,6.23,15.7,7.6,6,15.22,18.1,,4.9,11,10,7.4,,6,13.24,4.5,17.9,4.4,6.5,,7.33,10.7,3.48,1.71,-0.78,4.3859073227,,4,24,10
Pittsburgh,San Diego,5,1.42,1.84,1,7.52,2.7713043478,3,3,5.14,1.32,11,0.76,3.87,-2.28,-0.34,5.7,1.11,3,8.02,2.34,8.57,8.93,4,5,,2,-2.18,5.03,6.42,,5,1,,-0.59,4.49,,-0.1,6,,1,3.75,2.64,19.18,2.98,3.2,2.6,6,-1.89,2.8,,3.16,9,5.5,2.6,,2,-4.05,3.5,3,1.6,6,,2.97,0.01,-0.61,6.37,7.61,2.9512879363,,4,38,28
San Francisco,St. Louis,9,18.27,11.21,11,14.94,15.706304348,9,11,21.66,20.82,13,12.73,14.56,16.29,19.23,20.76,15.13,11,2.5,21.17,2.5,3.84,14,10,,7,17.92,18.64,18.17,,10,23,,21.21,13.97,,10.9,7,,18,6.44,22.05,11.05,15.07,29.8,17.5,9,25.22,21.8,,9.11,11,5.5,16.3,,15,23.79,17,24.2,3,9.5,,11.66,17.3,21.77,18.42,15.19,5.7030316923,,4,35,0
Washington,Tampa Bay,9.5,7.33,3.17,3,3.71,5.8497826087,4,6,6.17,9.43,10,5.35,1.59,3.55,10.11,6.21,7.68,7,12.81,6.07,12.99,1.69,6,8.5,,4,6.59,8.24,6.27,,6.5,9,,4.81,5.34,,4,2,,7,10.68,4.76,2.6,6,12.9,3.9,4,6.33,8.6,,5.51,15,5,6.7,,6,4.5,7.5,13.3,3.6,7,,9.02,8.6,4.28,3.48,0.79,2.4560786172,,4,16,13
Arizona,Houston,6.5,7.02,2.91,2,5.07,4.4793617021,2,4,4.87,5.77,6,3.27,2.69,4.45,-0.2,7.05,0.85,1,7.12,6.74,7.14,-7,5,6.5,,3,7.33,6.78,3.37,,5,-5,,9.68,4.32,,-0.7,3,,7,1.85,1.88,-5.81,4.45,6.1,9,3,10.56,5,1.21,5.08,10,10,8.6,,7,8.39,6,5.9,3.7,3.5,,6.6,4.1,6.54,2.29,-0.29,3.1006544921,,5,28,21
Baltimore,Cincinnati,8.5,4.76,1.06,5,13.64,7.2291489362,9,10,14.71,7.45,11,6.97,14.61,7.25,7.92,2.13,6.48,5,3.89,5.64,3.41,-7,17,8.5,,5.5,1.41,7.64,10.01,,9,3,,2.78,7.92,,5.5,3,,5,-9.19,12.6,1.64,6,2.7,4.9,10,5.5,15.3,5.69,8.37,3,3.5,2.6,,6,5.72,6.5,7.2,9.9,7.5,,6.5,6.8,8.14,9.96,5.21,3.7700408427,,5,14,17
Buffalo,Cleveland,6,1.9,4.68,4,6.15,5.7570212766,7,8,7.91,10.96,1,5.61,3.29,11.51,7.48,4.69,8.06,5,3.63,7.09,3.87,7,9,6,,5,0.25,4.21,9.31,,6,12,,5.28,5.09,,4.5,3,,2,-2.32,10.61,11.23,5.09,5,3.5,6,5,8.1,5.39,6.39,9,6,1.4,,4,4.95,5,6.7,5,5.5,,4,6.5,8.43,5.25,2.59,2.6266104086,,5,3,6
Carolina,Washington,4,1.51,-5.5,-0.25,2.66,1.0563829787,4,5,0.35,-3.48,3,0.77,0.4,-4.85,-5.7,3.13,-3,-2,-3.61,2.65,-3.51,-7,3,3.5,,2.5,0.84,2.33,1.79,,5.5,-13,,0.48,1.78,,0.5,7,,1,-1.66,4.91,-11.81,1,-7.7,4.4,3,1.29,6,-2.91,0.36,7,10,3,,4,-1.45,0.5,-1.4,0.4,2,,1,-2.7,8.21,3.26,6.17,4.1603639188,,5,20,17
Denver,New England,-3,5.94,3.14,2,-3.5,3.3927659574,-3,-1,2.89,3.41,-6,7.07,5,6.51,11.33,8.57,9.65,2,4.01,6.01,3.13,-7,-5,-1.5,,-4,5.68,6.21,2.2,,-3.5,18,,4.88,0.17,,0.1,4,,5,8.78,1.65,4.83,4,8.2,1.4,1,4.88,-0.6,5.89,0.43,-13,9,5.7,,-1,3.33,3.5,7.3,6,1.5,,5.3,6.7,-2.15,3.12,3.35,4.4864926275,,5,20,17
Detroit,Pittsburgh,-10.5,-3.26,-3.89,-6,-15.13,-7.99787234,-11,-8,-16.83,-10.62,-6,-4.25,-15.36,-10.73,-5.45,-9.54,-3.27,-6,-10.45,-5.23,-10.47,-11.64,-18,-10.5,,-5.5,-1.24,-5.63,-8.56,,-12,-12,,-5.62,-9.5,,-7.7,-8,,-4,1.4,-13.69,-5.34,-7.7,-3.5,-8.4,-7,-3,-15.6,-2.8,-9.08,-14,-2,-0.5,,-10,-10.34,-2.5,-6.8,-8,-7,,-13.05,-3.8,-13.47,-12.23,-7.63,4.3771600562,,5,20,28
Kansas City,Dallas,-7.5,-7.32,-1.87,-10,-7.41,-7.815106383,-6,-7,-10.62,-5.33,-10,-7.85,-8.9,-8.43,-8.27,-13.28,-4.85,-7,-9.49,-8.47,-9.73,2.17,-6,-7.5,,-7,-8.4,-7.15,-4.22,,-9,-12,,-8.92,-9.82,,-7.1,-6,,-7,-2.21,-9.37,-9.28,-7.41,-10.1,-11.2,-7,-8.7,-5.9,-3.58,-5.79,-6,-7,-4.8,,-8,-8.83,-5.5,-7.9,-7.2,-5,,-5.4,-6,-18.2,-10.38,-10.15,2.7535707034,,5,20,26
Miami,N.Y. Jets,-2.5,-5.06,3.05,-3,-2.56,-2.84106383,0,0.01,-7.61,1.33,-3,-2.94,-5.36,-5.11,-0.73,-7.04,0.73,-1,-6.81,-6.07,-7.65,-6.09,0.01,-2.5,,1,-7.4,-2.97,-4.85,,-2.5,-10,,-6.92,-2.78,,-2,-3,,-5,-9.69,-3.43,-11.18,-3.43,-8.5,-6.8,2,-3.96,3.3,1.07,0.13,3,2,-4.6,,-4,-5.48,-4,-7.2,-3.2,3,,-6.9,-0.6,0.6,-6.17,-4.72,3.3800741142,,5,31,27
N.Y. Giants,Oakland,15.5,17.85,8.61,14,15.95,15.560212766,12,17,17.58,21.19,6,14.43,16.12,20.11,19.82,19.22,14.18,11,11.9,14.92,12.2,7,23,15.5,,11.5,17.45,18.53,10.32,,15,15,,12.38,16.53,,16.2,11,,31,5.26,20.36,20.71,16.12,20.9,14.5,17,18.82,23.4,10.47,16.61,21,17,15.1,,17,13.75,13,19,13.3,13,,11.5,15.5,16.56,16.42,15.25,3.6632169809,,5,44,7
Philadelphia,Tampa Bay,15,16.71,11.15,12,16.71,14.935744681,12,14,18.07,15.3,7,12.84,22.23,14.3,16.33,20.11,14.95,11,22.95,17.51,22.94,9.26,18,15,,7,15.04,18.59,14.5,,14,16,,21.08,13.41,,11.6,8,,16,12.89,19.84,29.81,15.04,25.1,15.2,10,20.58,22.3,10.08,12.48,18,12.5,13.8,,13,24,13,23.4,13.8,10.5,,14.5,15.2,15.34,14.47,10.86,4.1948797696,,5,33,14
San Francisco,Atlanta,0,9.17,10.26,4,1.67,7.005106383,2,3,7.46,15.47,13,6.35,0.78,9.02,10.66,12.66,7.54,4,14.85,9.41,13.7,7,3,1,,1,7.36,11.23,5.97,,0,10,,11.48,4.1,,6.3,7,,9,5.45,6.69,3.94,6.69,13.4,5.7,3,12.5,9.9,6.59,0.68,-7,9,8.1,,6,16.02,7,18,3.5,6,,2.4,10.3,3.13,4.3,1.14,4.0148262577,,5,10,45
Seattle,Jacksonville,1,0.51,3.17,-2,-0.82,-0.653829787,0,2,-4.35,1.12,7,3.66,-5.34,5.18,-0.64,-3.13,0.6,-1,-6.69,-1.61,-6.16,-1.27,-2,1,,1,-0.26,0.9,2.7,,2,-8,,-4.82,-2.16,,-1.2,-2,,1,-1.82,-4.35,-2.68,-0.82,-2.4,-2.4,0.01,0.37,-6.2,0.75,-0.97,4,-2,0.2,,-2,-5.58,2.5,1.1,2.5,1.5,,2.6,0.6,-5.12,-1.2,1.95,3.0378056677,,5,41,0
St. Louis,Minnesota,-10.5,-15.62,-8.44,-15,-17.6,-14.03744681,-10,-11,-17.85,-15.22,-3,-11.17,-12.94,-11.02,-15.46,-19.61,-15.39,-11,-26.28,-16.4,-26.39,-7,-17,-11,,-8,-16.84,-15.93,-11.37,,-10,-21,,-20.12,-13.3,,-13.7,-12,,-15,-7,-19.77,1.17,-14.4,-22.3,-14.4,-9,-20.88,-18.4,-8.79,-10.64,-7,-16,-12.5,,-10,-26.4,-11.5,-24,-3.6,-8,,-6.8,-15.1,-21.28,-15.42,-13,4.8917616939,,5,10,38
Tennessee,Indianapolis,-3.5,-10.54,-3.72,-10,-5.45,-7.80787234,-5,-6,0.19,-10.32,4,-8.97,-7.8,-12.95,-10.29,-11.71,-6.71,-6,-17.22,-9.43,-17.34,7,-6,-4.5,,0.01,-13.47,-8.56,-5.31,,-3,-21,,-12.92,-5.76,,-8,-3,,-11,-5.96,-6.53,-15.02,-8.56,-15.6,-13.4,0.01,-13.54,-11.5,-4.52,-4.42,-16,-7,-8.3,,-9,-17.06,-6.5,-10.4,-7.3,-2.5,,-10,-8.9,-9.25,-2.25,-4.7,4.7380269863,,5,9,31
Atlanta,Chicago,3.5,3.06,8.27,2,3.88,4.0940816327,4,4,4.24,3.82,11,3.21,5.7,7.1,5.39,4.76,5.87,2,3.55,3.76,3.43,-12.61,7,3.5,3.67,1,2.22,4.03,2.63,,3,3,,3.5,3.02,2.66,1.1,5,,4,2.2,4.98,-8.09,3.88,4.4,8.3,3,5.26,7,4.34,-0.51,6,3.5,3.9,,6,5.79,3,-2.1,4.5,2,,-2.5,4.3,3,4.57,4.89,2.2377973903,,6,21,14
Cincinnati,Houston,4,13.42,7.3,9,4.1,8.1975510204,1,5,3.49,7.49,13,7.6,2.83,14.12,5.56,12.3,4.66,5,10.15,12.91,10.78,11.43,3,4.5,14.92,1.5,18.1,10.1,4.91,,4.5,2,,11.9,6.82,12.44,8.4,5,,14,7,4.62,17.33,7.49,17.9,17.6,5,15.12,5.5,4.74,6.14,11,20,13.4,,5,13.26,10,13,5.5,4,,4.5,8.4,5.1,3.84,4.19,4.9238803848,,6,17,28
Green Bay,Detroit,14,10.6,1.53,12,11.47,10.666530612,10,10,17.39,15.94,17,9.72,9.78,14.55,11.49,14.58,10.02,11,11.59,11.51,11.04,5.75,16,13,12.66,6,10.84,10.46,6.74,,11.5,17,,11.7,11.73,8.42,7.2,7,,11,5.99,10.43,29.77,10.6,9.3,15,8,9.43,11.7,8.6,10.1,12,6,10,,10,11.45,9,14,8.6,10.5,,14,8.5,9.62,11.83,6.27,3.1601790238,,6,26,0
Jacksonville,St. Louis,8.5,10.43,8.93,11,17.57,12.825714286,9,11,20.01,21.01,7,10.29,15.21,16.43,11.14,15.02,14.35,11,20.17,13.17,18.8,7,17,9.5,20.45,8.5,9.15,12.63,11.91,,12.5,16,,13.8,14.66,11.02,8.7,11,,11,-7.32,16.49,9.95,12.63,12.8,12.7,11,16.07,18.6,9.3,11.5,13,16,10.3,,9,16.76,12.5,21.7,6.2,11,,8,11.5,17.55,14.61,9.2,3.636889124,,6,23,20
Minnesota,Baltimore,2.5,4.84,0.55,7,1.5,4.3081632653,1,5,3.27,5.19,10,6.24,5.02,7.6,5.38,7.18,4.86,4,3.33,5.17,2.97,7,-1,2.5,5.49,0.5,7.44,2.63,3.61,,3,7,,5.4,3.12,8.24,5.2,4,,5,6.14,2.8,1.36,4.86,2,5.3,1,3.21,4.6,5.02,1.19,-1,6,6.5,,6,2.63,5,6.9,0.4,5.5,,0.5,4.2,4.75,4.11,4.96,2.3316461223,,6,33,31
N.Y. Jets,Buffalo,9.5,12.58,5.12,9,12.5,10.987959184,6,11,12.47,14.7,4,7.62,16.39,11.48,11.37,14.17,8.23,9,15.06,13.48,14.64,3.35,11,10,16.93,2.5,11.62,13.6,10.82,,9.5,9,,11.5,9.05,11.44,11.5,13,,13,4.26,14.34,7.73,11.62,14.3,17.1,9,16.65,17,7.17,4.09,18,12,11.9,,6,15.05,12.5,16,5.6,7.5,,6.5,10.5,14.35,12.75,13.04,3.6753191356,,6,13,16
New England,Tennessee,9,16.41,9.09,12,5.53,11.738367347,5,10,6.6,16.81,7,12.41,15.16,18.42,12.43,15.27,9.39,10,15.29,15.8,15.99,9.64,11,9.5,16.85,2,19.12,14.32,11.11,,9,8,,16.1,9.26,15.88,11.2,7,,17,7,11.72,-5.77,12.41,18.6,20.5,7,18.82,15.8,8.36,7.65,20,12.5,15.2,,11,18.92,14,17.4,5.1,10.5,,0.5,12.2,12.26,7.33,8.06,4.7071795107,,6,59,0
New Orleans,N.Y. Giants,3.5,4.37,7.09,1,1.83,6.1751020408,2,2,8.42,6.06,-3,2.2,4.84,3.93,3.19,18.54,4.86,4,16.39,13.99,16.19,7,2,3.5,14.66,1,3.41,5.71,5.56,,3.5,5,,17.1,3.97,6.29,7.6,5,,6,7.12,11.01,4.27,5,12.2,16.3,3,11.86,10.4,4.76,2.5,-7,10,4.6,,6,14.16,6,13,7.3,3.5,,2.2,7.5,1.49,4.53,0.65,4.7419278439,,6,48,27
Oakland,Philadelphia,-14,-10.57,-6.32,-9,-20.74,-12.14755102,-12,-11,-17.47,-10.37,-3,-10.29,-19.2,-0.2,-13.84,-14.28,-10.8,-12,-18.36,-9.68,-18.89,-7,-18,-14,-12.29,-10,-7.79,-14.23,-7.07,,-13.5,-24,,-13.5,-12.54,-8.94,-11.1,-11,,-14,-13.92,-17.22,-29.33,-12.29,-19.9,-15.9,-11,-15,-18.7,-6.37,-9.95,-24,-16.5,-8.1,,-14,-20.37,-9.5,-16.7,-9.5,-9.5,,-17,-9.9,-6.78,-12.1,-6.72,4.7781819811,,6,13,9
Pittsburgh,Cleveland,14,10.13,12,10,16.26,12.74122449,13,14,16.01,12.67,13,9.34,15.35,13.44,15.14,9.98,11.68,13,12.7,10.56,12.52,7,19,14,13.76,9.5,8.48,12.62,13.88,,14,15,,9.7,12.08,9.04,10.3,11,,10,1.85,17.35,29.11,12.62,17.7,14.7,14,10.45,17.9,9.15,11.85,26,7.5,10.3,,14,13.38,11,14.2,14.3,12,,14,9.5,22.03,13.1,10.19,2.9887850323,,6,27,14
San Diego,Denver,3.5,-6.39,-9.98,-5,4.87,-2.676326531,4,4,-0.74,-4.73,10,-5.12,5.04,-7.55,-7.31,-6.91,-4.64,-3,-7.63,-5.93,-7.81,-7,9,2.5,-6.91,6.5,-9.47,-4.65,-0.37,,4,-14,,-7.3,0.64,-6.21,-3.8,-6,,-5,-12.69,-1.23,-5.14,-4.73,-7.5,-6.8,1,-5.44,2.7,-0.98,4.95,7,-7,-6.2,,-1,-6.9,-3.5,-6.5,-3.2,2,,-6,-2.7,3.95,-2.02,-3.31,5.1912469174,,6,23,34
Seattle,Arizona,3,4.53,8.28,4,10.12,3.233877551,1,4,-4.07,4.86,6,6.26,-5.21,3.29,8.95,4.06,7.02,3,4.8,2.45,5.2,-7,2,3,-0.01,-1,0.71,8.8,2.36,,2.5,1,,0.8,2.41,3.43,3.1,6,,5,5.04,4.37,1.06,3.5,12.5,2.2,3,6.89,5.4,6.09,1.36,-14,-4,4.3,,3,9.61,5.5,6.5,5.6,3.5,,-1,6.2,-9.4,-2.96,-1.84,4.1683469027,,6,3,27
Tampa Bay,Carolina,-3,-3.26,1.81,-2,-1.73,-1.485306122,-5,-2,0.9,1.76,-1,-0.69,-5.06,-1.17,1.94,-1.13,1.16,-1,-4.17,-0.8,-3.71,-10.7,0.01,-3,-1.13,-1,-4.23,-2.18,-0.23,,-4,-6,,-3.1,-0.17,-2.49,-1.7,2,,-3,-4.04,-2.08,-2.18,-1.17,-4.8,-4.2,2,-0.89,-1.3,2.21,-0.94,3,-5.5,-1.8,,-5,-3.7,-0.5,0.1,1.7,-1,,-3,0.9,-5.95,-0.18,-1.26,2.2651858846,,6,21,28
Washington,Kansas City,6.5,5.55,4.07,7,2.99,5.5557142857,4,7,6.53,4.99,3,4.61,4.38,5.12,8.31,2.73,6.49,8,1.46,4.77,0.98,-9.8,7,6.5,4.82,7.5,8.67,3.6,5.1,,4.5,7,,2.9,7.03,6.24,3.9,8,,6,7,1.79,9.97,5.55,7.8,8.4,10,-1.13,0.9,6.4,5.61,10,1.5,6.6,,3,1.53,5.5,1.7,5.5,7.5,,6.3,3,17.83,6.48,6.42,2.9114672704,,6,6,14
Carolina,Buffalo,7,-5.4,-1.46,2,2.2,1.0085714286,5,6,2.05,-7.26,0.01,1.18,4.95,1.86,2.19,-5.45,2.82,4,-6.88,-3,-7.31,-7,4,5.5,-2.66,0.5,-6.46,-4.29,3.52,,7,-2,,-4.67,2.86,2.62,3.4,3,,-4,-9.53,2.16,3.59,2,-7.9,-3.5,6,0.56,4.8,2.15,4.57,8,-3,-1.1,,6,-6.04,0.5,-1.7,-2.4,4,,4,1.6,11.96,5.2,8.35,4.3048436867,,7,9,20
Cincinnati,Chicago,0,1.13,3.87,2,-6.13,0.103877551,-1,-2,-3.47,0.72,-7,-0.95,-4.55,4.66,-0.03,-0.82,1.33,1,-3.18,2.12,-2.82,2.59,-1,0,2.31,-2,4.3,-1.56,0.94,,2.5,-5,,1.43,0.87,2.3,-2.5,3,,2,5.07,-3.92,10.61,0.87,0.1,1.1,1,0.55,-3.9,1.52,4.28,9,3.5,3.4,,2,-3.7,1.5,-0.5,-1,-1,,-3,1.1,3.68,0.15,3.76,2.8613580811,,7,45,10
Cleveland,Green Bay,-8,-7.74,-4.76,-6,-7.65,-6.84122449,-8,-5,-8.17,-7.83,-10,-7.39,-9.7,-7.68,-12.26,-4.5,-7.7,-9,-13.36,-3.62,-12.64,-2.56,-8,-8,-6.11,-8.5,-4.27,-11.81,-1.52,,-7,-19,,-7.27,-4.87,-5.28,-7.4,-6,,-22,1.9,-8.08,-23.25,-7.39,-11.9,-6.5,-4,-9.1,-8.2,-5.63,-4.47,-1,2,-5.9,,-8,-11.62,-7,-9.8,0.9,-6,,-9,-6.1,-3.96,-4.6,-1.03,3.442708256,,7,3,31
Dallas,Atlanta,4.5,-9.45,3.24,-1,-1.33,-1.370612245,3,2,2.97,-4.56,7,1.08,-0.54,-2.44,-0.48,-3.42,0.49,1,-10.66,-3.49,-10.41,-7,0.01,3.5,-4.87,1,-10.56,-8.42,0.59,,3,-3,,-4.47,2.54,-4.58,-0.9,2,,-7,-9.15,-0.62,18.18,-1,-13.4,-7.7,5,-5.51,-4.4,1.03,5.7,-1,-6.5,-5,,2,-11.71,-2.5,-4.4,6.1,4.5,,5.5,-1.2,-3.23,1.45,-0.08,4.7156810255,,7,37,21
Houston,San Francisco,3,-6.26,1.86,1,2.36,0.0234693878,3,5,-2.21,0.05,4,-3.06,-3.89,-0.34,1.5,1.58,2.18,1,-4.85,-0.89,-4.45,-7,7,3,5.5,-1,-5.6,-6.92,3.52,,3,-7,,-2.07,3.63,-0.67,1.3,2,,4,-8.01,2.96,2.13,1,-1,0.3,6,-5.17,10.9,2.32,0.17,11,-3.5,-1.4,,-23.6,-4.26,-4.5,-4.9,1.6,2.5,,2,-0.6,3.51,1.38,4.97,5.0886534528,,7,24,21
Kansas City,San Diego,-5,-9.14,4.32,-7,-5.66,-4.655306122,-7,-3,-6.71,-5.16,-3,-1.26,-8.13,-6.57,-1.46,-4.78,-0.31,-3,-9.25,-5.47,-9.21,-7,-7,-5,-5.86,-8.5,-11.56,-7.23,-2.08,,-6,-7,,-6.37,-4.48,-2.97,-2.1,-1,,-7,-9.19,-3.06,-12.97,-4.78,-12.8,-8,-5,-2.52,-0.2,0.68,-3.53,1,-1.5,-6,,-6,-8.06,-6,-4.1,-3.3,-0.5,,-4.5,-0.2,-11.02,-4.61,-2.51,3.3592720578,,7,7,37
Miami,New Orleans,-6,-6.99,-2.12,-7,-6.73,-7.804489796,-5,-6,-14.18,-8.37,1,-9.37,-7.71,-11.02,-5.73,-16.28,-5.38,-7,-11.42,-8.91,-11.95,10.1,-10,-6,-9.66,-3.5,-6.34,-8.11,-7.49,,-7,-16,,-9.87,-7.63,-9.06,-8.5,-3,,-10,-3.69,-14.81,-17.59,-8.11,-8.5,-11.5,-3,-12.34,-12.2,-4.75,-3.66,-8,-12.5,-5.7,,-8,-11.43,-5,-10.9,-9.5,-3,,-8.5,-6.8,-3.33,-8.71,-3.24,3.6972822571,,7,34,46
N.Y. Giants,Arizona,7,0.64,4.23,6,8.66,4.6385714286,5,7,7.42,3.52,-1,7.91,14.21,13.04,6,3.85,5.04,6,-3.54,2.11,-2.25,-7,9,7,-0.05,3.5,0.57,0.72,4.93,,6.5,1,,-1.67,5.67,5.21,3.6,8,,3,0.47,6.79,10.61,4.93,0.1,0.5,8,3.58,0.9,5.51,6.58,1,-2.5,4,,3,1.47,6.5,4.1,8.9,5.5,,5.2,4.5,3.84,7.41,7.4,3.4808051032,,7,17,24
Oakland,N.Y. Jets,-6,-7.99,-2.93,-4,-11.9,-6.401632653,-5,-4,-5.65,-12.72,3,-3.06,-16.45,2.19,-8.8,-7.15,-4.27,-6,-15.25,-6.55,-15.53,-7,-7,-6,-9.65,-10,-4.13,-12.86,-4.77,,-7.5,-10,,-9.57,-5.53,-2.48,-4.4,-5,,-6,-5.11,-8.87,0.08,-5.53,-17.1,-8.7,-5,-9.21,-4.8,-3.25,-5.32,3,-4,-4.6,,-4,-14.97,-9.5,-12,-5.3,-5,,-8,-5,3.86,-4.63,-3.62,4.2663598589,,7,0,38
Pittsburgh,Minnesota,6,-6.23,-2.37,-2,0.8,-0.609183673,3,2,1.51,-4.37,-3,-2.23,1.7,-3.85,-0.14,-1.48,0.47,1,-6.1,-0.2,-5.88,-7,5,5,-1.89,1,-8,-5.34,1.04,,3.5,-3,,-2.37,1.8,-3.1,-0.9,2,,-4,-3.63,0.96,5.3,-0.5,-0.5,-2.3,5,-6.04,1.5,0.29,4.1,13,-5,-3.1,,-1,-5.8,-2.5,-3.4,5.3,3,,7.5,-2,-1.68,1.03,0.54,3.2912996652,,7,27,17
St. Louis,Indianapolis,-14,-25.36,-8.41,-18,-25.04,-18.69571429,-14,-16,-19.11,-24.45,-3,-15.04,-20.33,-22.5,-18.02,-23.73,-13.54,-15,-30.43,-18.75,-30.55,-7,-24,-14.5,-27.72,-9.5,-25.99,-24.78,-12.78,,-11.5,-31,,-20.67,-17.7,-18.84,-14.5,-10,,-24,-13.91,-23.54,-26.68,-19.3,-30.5,-20.1,-11,-23.11,-26.8,-11.03,-13.65,-20,-13.5,-19,,-14,-29.71,-20,-28.5,-19.3,-13,,-17.52,-14.1,-27,-16.86,-14.61,6.2503466571,,7,6,42
Tampa Bay,New England,-14.5,-26,-12.17,-16,-17.62,-16.69571429,-13,-14,-13.91,-23.23,3,-13.01,-15.52,-18.03,-17.21,-23.47,-12.55,-13,-26.9,-20.93,-27.5,-18.25,-18,-14.5,-23.93,-6,-26.34,-27.18,-12.96,,-13,-20,,-22.9,-13.75,-15.81,-14.1,-6,,-23,-3.31,-19.72,-26.38,-17.62,-34.7,-18.9,-9,-24.69,-22.2,-11.45,-11.13,-28,-21,-22.2,,-13,-32.55,-21,-28,-14.5,-11,,-7,-15,-16,-11.11,-8.32,7.016550672,,7,7,35
